#ID                  fibID(C)
  i1                 U1-1-X-2
  i2                 U1-1-X-4
  i3                 U1-1-X-6
  i4                 U1-1-X-9
  i5                 U1-1-X-11
  i6                 U1-1-X-13
  i7                 U1-1-X-15
  i8                 U1-1-X-19
  i9                 U1-1-X-21
 i10                 U1-1-X-23
 i11                 U1-1-X-27
 i12                 U1-1-X-29
 i13                 U1-1-X-31
 i14                 D3-1-X-2
 i15                 D3-1-X-4
 i16                 D3-1-X-6
 i17                 D3-1-X-9
 i18                 D3-1-X-11
 i19                 D3-1-X-13
 i20                 D3-1-X-15
 i21                 D3-1-X-19
 i22                 D3-1-X-22
 i23                 D3-1-X-27
 i24                 D3-1-X-29
 i25                 D3-1-X-31
 i26                 D1-1-X-2
 i27                 D1-1-X-4
 i28                 D1-1-X-6
 i29                 D1-1-X-9
 i30                 D1-1-X-11
 i31                 D1-1-X-13
 i32                 D1-1-X-15
 i33                 D1-1-X-19
 i34                 D1-1-X-21
 i35                 D1-1-X-23
 i36                 D1-1-X-27
 i37                 D1-1-X-29
 i38                 D1-1-X-31
 i39                 U1-2-X-2
 i40                 U1-2-X-4
 i41                 U1-2-X-6
 i42                 U1-2-X-9
 i43                 U1-2-X-11
 i44                 U1-2-X-13
 i45                 U1-2-X-15
 i46                 U1-2-X-19
 i47                 U1-2-X-21
 i48                 U1-2-X-23
 i49                 U1-2-X-27
 i50                 U1-2-X-29
 i51                 U1-2-X-31
 i52                 D2-2-X-2
 i53                 D2-2-X-4
 i54                 D2-2-X-6
 i55                 D2-2-X-9
 i56                 D2-2-X-11
 i57                 D2-2-X-13
 i58                 D2-2-X-15
 i59                 D2-2-X-19
 i60                 D2-2-X-21
 i61                 D2-2-X-23
 i62                 D2-2-X-27
 i63                 D2-2-X-29
 i64                 D2-2-X-31
 i65                 D1-2-X-2
 i66                 D1-2-X-4
 i67                 D1-2-X-6
 i68                 D1-2-X-9
 i69                 D1-2-X-11
 i70                 D1-2-X-13
 i71                 D1-2-X-15
 i72                 D1-2-X-19
 i73                 D1-2-X-21
 i74                 D1-2-X-23
 i75                 D1-2-X-27
 i76                 D1-2-X-29
 i77                 D1-2-X-31
 i78                 D0-2-X-2
 i79                 D0-2-X-4
 i80                 D0-2-X-6
 i81                 D0-2-X-9
 i82                 D0-2-X-11
 i83                 D0-2-X-13
 i84                 D0-2-X-15
 i85                 D0-2-X-19
 i86                 D0-2-X-22
 i87                 D0-2-X-27
 i88                 D0-2-X-29
 i89                 D0-2-X-31
 i90                 U1-3-X-2
 i91                 U1-3-X-4
 i92                 U1-3-X-6
 i93                 U1-3-X-9
 i94                 U1-3-X-11
 i95                 U1-3-X-13
 i96                 U1-3-X-15
 i97                 U1-3-X-19
 i98                 U1-3-X-21
 i99                 U1-3-X-23
i100                 U1-3-X-27
i101                 U1-3-X-29
i102                 U1-3-X-31
i103                 D3-3-X-2
i104                 D3-3-X-4
i105                 D3-3-X-6
i106                 D3-3-X-9
i107                 D3-3-X-11
i108                 D3-3-X-13
i109                 D3-3-X-15
i110                 D3-3-X-19
i111                 D3-3-X-22
i112                 D3-3-X-27
i113                 D3-3-X-29
i114                 D3-3-X-31
i115                 D1-3-X-2
i116                 D1-3-X-4
i117                 D1-3-X-6
i118                 D1-3-X-9
i119                 D1-3-X-11
i120                 D1-3-X-13
i121                 D1-3-X-15
i122                 D1-3-X-19
i123                 D1-3-X-21
i124                 D1-3-X-23
i125                 D1-3-X-27
i126                 D1-3-X-29
i127                 D1-3-X-31
  d1                 U3-1-X-3
  d2                 U3-1-X-6
  d3                 U3-1-X-10
  d4                 U3-1-X-13
  d5                 U3-1-X-16
  d6                 U3-1-X-17
  d7                 U3-1-X-20
  d8                 U3-1-X-23
  d9                 U3-1-X-26
 d10                 U3-1-X-29
 d11                 D2-1-X-3
 d12                 D2-1-X-6
 d13                 D2-1-X-10
 d14                 D2-1-X-13
 d15                 D2-1-X-16
 d16                 D2-1-X-17
 d17                 D2-1-X-20
 d18                 D2-1-X-23
 d19                 D2-1-X-26
 d20                 D2-1-X-29
 d21                 U2-1-X-3
 d22                 U2-1-X-6
 d23                 U2-1-X-10
 d24                 U2-1-X-13
 d25                 U2-1-X-16
 d26                 U2-1-X-17
 d27                 U2-1-X-20
 d28                 U2-1-X-23
 d29                 U2-1-X-26
 d30                 U2-1-X-29
 d31                 D0-1-X-3
 d32                 D0-1-X-6
 d33                 D0-1-X-10
 d34                 D0-1-X-13
 d35                 D0-1-X-16
 d36                 D0-1-X-17
 d37                 D0-1-X-20
 d38                 D0-1-X-23
 d39                 D0-1-X-26
 d40                 D0-1-X-29
 d41                 U3-2-X-3
 d42                 U3-2-X-6
 d43                 U3-2-X-10
 d44                 U3-2-X-13
 d45                 U3-2-X-16
 d46                 U3-2-X-17
 d47                 U3-2-X-20
 d48                 U3-2-X-23
 d49                 U3-2-X-26
 d50                 U3-2-X-29
 d51                 D3-2-X-3
 d52                 D3-2-X-6
 d53                 D3-2-X-10
 d54                 D3-2-X-13
 d55                 D3-2-X-16
 d56                 D3-2-X-17
 d57                 D3-2-X-20
 d58                 D3-2-X-23
 d59                 D3-2-X-26
 d60                 D3-2-X-29
 d61                 U2-2-X-3
 d62                 U2-2-X-6
 d63                 U2-2-X-10
 d64                 U2-2-X-13
 d65                 U2-2-X-16
 d66                 U2-2-X-17
 d67                 U2-2-X-20
 d68                 U2-2-X-23
 d69                 U2-2-X-26
 d70                 U2-2-X-29
 d71                 U3-3-X-3
 d72                 U3-3-X-6
 d73                 U3-3-X-10
 d74                 U3-3-X-13
 d75                 U3-3-X-16
 d76                 U3-3-X-17
 d77                 U3-3-X-20
 d78                 U3-3-X-23
 d79                 U3-3-X-26
 d80                 U3-3-X-29
 d81                 D2-3-X-3
 d82                 D2-3-X-6
 d83                 D2-3-X-10
 d84                 D2-3-X-13
 d85                 D2-3-X-16
 d86                 D2-3-X-17
 d87                 D2-3-X-20
 d88                 D2-3-X-23
 d89                 D2-3-X-26
 d90                 D2-3-X-29
 d91                 U2-3-X-2
 d92                 U2-3-X-3
 d93                 U2-3-X-4
 d94                 U2-3-X-5
 d95                 U2-3-X-6
 d96                 U2-3-X-9
 d97                 U2-3-X-10
 d98                 U2-3-X-11
 d99                 U2-3-X-12
d100                 U2-3-X-13
d101                 U2-3-X-14
d102                 U2-3-X-15
d103                 U2-3-X-16
d104                 U2-3-X-17
d105                 U2-3-X-18
d106                 U2-3-X-19
d107                 U2-3-X-20
d108                 U2-3-X-21
d109                 U2-3-X-22
d110                 U2-3-X-23
d111                 U2-3-X-24
d112                 U2-3-X-26
d113                 U2-3-X-27
d114                 U2-3-X-28
d115                 U2-3-X-29
d116                 U2-3-X-30
d117                 U2-3-X-31
d118                 D0-3-X-3
d119                 D0-3-X-6
d120                 D0-3-X-10
d121                 D0-3-X-13
d122                 D0-3-X-16
d123                 D0-3-X-17
d124                 D0-3-X-20
d125                 D0-3-X-23
d126                 D0-3-X-26
d127                 D0-3-X-29
